"Name","Module","GraphCmdName","GraphModuleName","AadParamName","GraphParamName","GraphScopesApplication","GraphScopesDelegate","ApiUri"
"Get-AzureADMSGroup","AzureAD","Get-MgGroup","Microsoft.Graph.Groups","SearchString","","Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All","Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All",
"Get-AzureADMSGroup","AzureAD","Get-MgGroup","Microsoft.Graph.Groups","All","All","Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All","Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All",
"Get-AzureADMSGroupLifecyclePolicy","AzureAD","Get-MgGroupLifecyclePolicy","Microsoft.Graph.Groups","Id","","Directory.Read.All Directory.ReadWrite.All","Directory.Read.All Directory.ReadWrite.All",
"Get-AzureADMSGroupPermissionGrant","AzureAD","",,"Id","","","",
"Get-AzureADMSIdentityProvider","AzureAD","Get-MgIdentityProvider","Microsoft.Graph.Identity.SignIns","Id","","IdentityProvider.Read.All IdentityProvider.ReadWrite.All","IdentityProvider.Read.All IdentityProvider.ReadWrite.All",
"Get-AzureADMSLifecyclePolicyGroup","AzureAD","",,"Id","","","",
"Get-AzureADMSNamedLocationPolicy","AzureAD","Get-MgIdentityConditionalAccessNamedLocation","Microsoft.Graph.Identity.SignIns","PolicyId","","Policy.Read.All","Policy.Read.All",
"Get-AzureADMSPermissionGrantConditionSet","AzureAD","Get-MgPolicyPermissionGrantPolicyInclude Get-MgPolicyPermissionGrantPolicyExclude","Microsoft.Graph.Identity.SignIns Microsoft.Graph.Identity.SignIns","PolicyId","","Directory.Read.All Policy.Read.PermissionGrant","Directory.Read.All Policy.Read.PermissionGrant",
"Get-AzureADMSPermissionGrantConditionSet","AzureAD","Get-MgPolicyPermissionGrantPolicyInclude Get-MgPolicyPermissionGrantPolicyExclude","Microsoft.Graph.Identity.SignIns Microsoft.Graph.Identity.SignIns","ConditionSetType","","Directory.Read.All Policy.Read.PermissionGrant","Directory.Read.All Policy.Read.PermissionGrant",
"Get-AzureADMSPermissionGrantConditionSet","AzureAD","Get-MgPolicyPermissionGrantPolicyInclude Get-MgPolicyPermissionGrantPolicyExclude","Microsoft.Graph.Identity.SignIns Microsoft.Graph.Identity.SignIns","Id","","Directory.Read.All Policy.Read.PermissionGrant","Directory.Read.All Policy.Read.PermissionGrant",
"Get-AzureADMSPermissionGrantPolicy","AzureAD","Get-MgPolicyPermissionGrantPolicy","Microsoft.Graph.Identity.SignIns","Id","","Policy.Read.PermissionGrant Policy.ReadWrite.PermissionGrant","Policy.Read.PermissionGrant Policy.ReadWrite.PermissionGrant",
"Get-AzureADMSRoleAssignment","AzureAD","",,"Filter","","","",
"Get-AzureADMSRoleAssignment","AzureAD","",,"Id","","","",
"Get-AzureADMSRoleAssignment","AzureAD","",,"Top","","","",
"Get-AzureADMSRoleAssignment","AzureAD","",,"SearchString","","","",
"Get-AzureADMSRoleAssignment","AzureAD","",,"All","","","",
"Get-AzureADMSRoleDefinition","AzureAD","",,"Filter","","","",
"Get-AzureADMSRoleDefinition","AzureAD","",,"Id","","","",
"Get-AzureADMSRoleDefinition","AzureAD","",,"Top","","","",
"Get-AzureADMSRoleDefinition","AzureAD","",,"SearchString","","","",
"Get-AzureADMSRoleDefinition","AzureAD","",,"All","","","",
"Get-AzureADMSScopedRoleMembership","AzureAD","Get-MgUserScopedRoleMemberOf","Microsoft.Graph.Identity.DirectoryManagement","ScopedRoleMembershipId","ScopedRoleMembershipId","Directory.Read.All Directory.ReadWrite.All","Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All",
"Get-AzureADMSScopedRoleMembership","AzureAD","Get-MgUserScopedRoleMemberOf","Microsoft.Graph.Identity.DirectoryManagement","Id","","Directory.Read.All Directory.ReadWrite.All","Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All",
"Get-AzureADMSServicePrincipalDelegatedPermissionClassification","AzureAD","Get-MgServicePrincipalDelegatedPermissionClassification","Microsoft.Graph.Applications","Filter","Filter","Application.Read.All Directory.Read.All","Application.Read.All Directory.Read.All",
"Get-AzureADMSServicePrincipalDelegatedPermissionClassification","AzureAD","Get-MgServicePrincipalDelegatedPermissionClassification","Microsoft.Graph.Applications","Id","","Application.Read.All Directory.Read.All","Application.Read.All Directory.Read.All",
"Get-AzureADMSServicePrincipalDelegatedPermissionClassification","AzureAD","Get-MgServicePrincipalDelegatedPermissionClassification","Microsoft.Graph.Applications","ServicePrincipalId","ServicePrincipalId","Application.Read.All Directory.Read.All","Application.Read.All Directory.Read.All",
"Get-AzureADOAuth2PermissionGrant","AzureAD","Get-MgOauth2PermissionGrant","Microsoft.Graph.Identity.SignIns","All","All","DelegatedPermissionGrant.ReadWrite.All Directory.Read.All Directory.ReadWrite.All","DelegatedPermissionGrant.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All",
"Get-AzureADOAuth2PermissionGrant","AzureAD","Get-MgOauth2PermissionGrant","Microsoft.Graph.Identity.SignIns","Top","Top","DelegatedPermissionGrant.ReadWrite.All Directory.Read.All Directory.ReadWrite.All","DelegatedPermissionGrant.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All",
"Get-AzureADObjectByObjectId","AzureAD","Get-MgDirectoryObjectById","Microsoft.Graph.DirectoryObjects","Types","Types",,,
